pathway,NES,padj,size
ERK1 And ERK2 Cascade (GO:0070371),1.4626235161169405,0.2116064429283142,24
Positive Regulation Of Neutrophil Chemotaxis (GO:0090023),1.4623622665003637,0.17830562591552734,18
Neutrophil Chemotaxis (GO:0030593),1.4617213684848605,0.0,70
COPII-coated Vesicle Budding (GO:0090114),1.4612576273457276,0.14642255008220673,36
Alcohol Catabolic Process (GO:0046164),1.4601964280475739,0.23019972443580627,8
Leukocyte Chemotaxis Involved In Inflammatory Response (GO:0002232),1.4600267787446541,0.1825588345527649,5
Positive Regulation Of ATP Metabolic Process (GO:1903580),1.4598156091365142,0.26339638233184814,9
Positive Regulation Of Microglial Cell Activation (GO:1903980),1.459272293116026,0.212947815656662,5
Regulation Of Defense Response To Virus By Host (GO:0050691),1.4592657447223176,0.18945391476154327,37
Vitamin K Metabolic Process (GO:0042373),1.4591362778471824,0.2765602171421051,8
Establishment Of Protein Localization To Extracellular Region (GO:0035592),1.4590339038133147,0.16220806539058685,45
B Cell Proliferation (GO:0042100),1.4590270102510006,0.1579328179359436,31
Post-Translational Protein Targeting To Endoplasmic Reticulum Membrane (GO:0006620),1.458856045811052,0.2012738138437271,14
Leukocyte Cell-Cell Adhesion (GO:0007159),1.4578608543503195,0.13764065504074097,31
Golgi To Lysosome Transport (GO:0090160),1.4577792062015322,0.22032710909843445,11
Glomerular Filtration (GO:0003094),1.4570374048937065,0.26339638233184814,13
Regulation Of Amyloid Precursor Protein Biosynthetic Process (GO:0042984),1.456828830263318,0.20030149817466736,10
Negative Regulation Of Calcium Ion Import (GO:0090281),1.4567065425140922,0.20030149817466736,5
Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),1.4563167355167421,0.0,175
Cytoplasmic Translation (GO:0002181),1.4562626046157978,0.2557589113712311,93
Amyloid Precursor Protein Catabolic Process (GO:0042987),1.4561187791198233,0.21761776506900787,13
Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702),1.4557946632704544,0.1463189721107483,38
Protein Insertion Into Membrane (GO:0051205),1.455524085898079,0.22176365554332733,19
Negative Regulation Of Trophoblast Cell Migration (GO:1901164),1.4547435446570895,0.16220806539058685,5
Regulation Of Thymocyte Apoptotic Process (GO:0070243),1.4540445412795187,0.1896722912788391,5
Protein Deneddylation (GO:0000338),1.4539151234046306,0.2734111249446869,10
Positive Regulation Of Lymphocyte Proliferation (GO:0050671),1.453645357565967,0.09734964370727539,74
Vesicle Budding From Membrane (GO:0006900),1.452871784261734,0.2193601280450821,32
Protein Neddylation (GO:0045116),1.4527622269412863,0.21885742247104645,22
Regulation Of Neutrophil Chemotaxis (GO:0090022),1.4522419895420515,0.15776218473911285,25
Macromolecule Modification (GO:0043412),1.4518125473743178,0.03315972164273262,81
