pathway,NES,padj,size
Regulation Of Alpha-Beta T Cell Proliferation (GO:0046640),1.3239213330628397,0.5798766016960144,7
Positive Regulation Of Smoothened Signaling Pathway (GO:0045880),1.3235905819999993,0.47163429856300354,21
Proximal/Distal Pattern Formation (GO:0009954),1.322630135689167,0.5784835815429688,7
Notch Signaling Involved In Heart Development (GO:0061314),1.317702069387827,0.5770081281661987,10
Thyroid Gland Development (GO:0030878),1.3175916540001273,0.5866777300834656,7
Protein Heterooligomerization (GO:0051291),1.3171671118913746,0.5271795392036438,19
mRNA 5'-Splice Site Recognition (GO:0000395),1.3169973099956318,0.5829252004623413,5
Regulation Of Striated Muscle Cell Differentiation (GO:0051153),1.3165286879707052,0.5847026705741882,6
Cell Chemotaxis (GO:0060326),1.316117713838158,0.46141982078552246,50
Artery Morphogenesis (GO:0048844),1.3156133477070955,0.461830735206604,30
Regulation Of Histone Deacetylase Activity (GO:1901725),1.3152661496477362,0.6041141748428345,5
Regulation Of Potassium Ion Export Across Plasma Membrane (GO:1903764),1.315099475515785,0.6014252305030823,6
G Protein-Coupled Serotonin Receptor Signaling Pathway (GO:0098664),1.3144355538347792,0.5829252004623413,9
Glomerular Epithelial Cell Differentiation (GO:0072311),1.3132759060664596,0.5847026705741882,5
Renal Filtration Cell Differentiation (GO:0061318),1.3132759060664596,0.5847026705741882,5
Atrioventricular Valve Morphogenesis (GO:0003181),1.3125983225151,0.5270646810531616,19
Epithelial Cilium Movement Involved In Determination Of Left/Right Asymmetry (GO:0060287),1.3114557157045708,0.614517331123352,9
Respiratory Tube Development (GO:0030323),1.3107887967755911,0.48861807584762573,27
Tongue Development (GO:0043586),1.308849550358009,0.578101634979248,5
Regulation Of Centriole Replication (GO:0046599),1.3087202640103734,0.5354772210121155,19
Cardiac Ventricle Development (GO:0003231),1.3058941308152971,0.5538640022277832,19
Negative Regulation Of Mast Cell Activation (GO:0033004),1.3010981720699517,0.6328195333480835,5
Heart Looping (GO:0001947),1.2996774964267106,0.47779861092567444,38
Neuron Projection Regeneration (GO:0031102),1.2996184397479242,0.5798332691192627,9
Regulation Of Androgen Receptor Signaling Pathway (GO:0060765),1.2991365999586932,0.4688079357147217,27
Positive Regulation Of Excitatory Postsynaptic Potential (GO:2000463),1.2968854399083327,0.5162162184715271,22
Axon Regeneration (GO:0031103),1.2936842955626877,0.5942592024803162,9
Determination Of Heart Left/Right Asymmetry (GO:0061371),1.2935836436501007,0.44662970304489136,42
SMAD Protein Signal Transduction (GO:0060395),1.2923798104021922,0.461830735206604,51
Positive Regulation Of Triglyceride Catabolic Process (GO:0010898),1.291870719212223,0.6188998818397522,6
Positive Regulation Of Fatty Acid Beta-Oxidation (GO:0032000),1.2910451417514934,0.610654354095459,8
Xenobiotic Transport Across Blood-Brain Barrier (GO:1990962),1.290817615772971,0.6289501190185547,5
Regulation Of Blood-Brain Barrier Permeability (GO:1905603),1.290228321269938,0.6188998818397522,6
Vasculogenesis (GO:0001570),1.2887194324004563,0.47779861092567444,33
Placenta Blood Vessel Development (GO:0060674),1.286377511792284,0.6087825298309326,6
